t,x,y,cx,cy,bx,by
309.74,-9.29,57.11, 2.00,1.04,-0.35,-0.20
310.00,-8.27,55.79, 2.00,0.52,-0.34,-0.19
310.23,-8.19,55.00, 2.00,0.31,-0.33,-0.19
310.51,-7.12,53.01, 2.00,-0.09,-0.33,-0.19
310.79,-7.39,51.63, 2.00,-0.35,-0.32,-0.19
310.94,-6.60,50.44, 1.87,-0.19,-0.31,-0.19
311.28,-6.87,48.93, 2.00,-0.47,-0.30,-0.19
311.44,-6.63,47.99, 1.54,-0.19,-0.30,-0.19
311.62,-6.92,47.05, 1.98,-0.37,-0.29,-0.19
311.78,-7.12,46.51, 2.00,-0.47,-0.28,-0.19
311.93,-6.91,45.46, 1.40,-0.19,-0.28,-0.19
312.10,-7.12,44.48, 1.89,-0.34,-0.27,-0.19
312.31,-6.38,43.01, 1.13,-0.11,-0.27,-0.19
312.50,-6.46,42.13, 1.20,-0.17,-0.26,-0.19
312.76,-6.64,41.20, 1.06,-0.19,-0.26,-0.19
313.01,-6.42,39.45, 0.94,-0.12,-0.26,-0.19
313.12,-6.54,39.06, 1.52,-0.21,-0.25,-0.19
313.32,-6.68,38.60, -2.00,2.00,-0.25,-0.19
313.53,-6.07,37.17, -2.00,2.00,-0.26,-0.18
313.93,-5.33,34.63, -2.00,2.00,-0.27,-0.17
314.10,-5.33,34.63, -2.00,2.00,-0.27,-0.17
315.89,-3.91,23.39, -1.12,0.04,-0.27,-0.17
316.02,-3.89,22.66, -1.79,0.08,-0.28,-0.17
316.25,-3.90,22.14, -2.00,0.13,-0.28,-0.16
316.38,-3.96,21.69, -2.00,0.09,-0.29,-0.16
316.64,-3.93,21.73, -2.00,0.16,-0.29,-0.16
316.83,-3.85,21.09, -2.00,0.11,-0.30,-0.16
317.06,-3.96,20.65, -2.00,0.11,-0.30,-0.16
317.29,-3.81,20.38, -2.00,0.09,-0.31,-0.16
317.47,-3.96,20.26, -2.00,0.08,-0.31,-0.16
317.65,-4.02,20.23, -2.00,0.10,-0.32,-0.16
317.86,-3.96,19.94, -2.00,0.07,-0.32,-0.16
318.16,-4.08,19.86, -2.00,0.08,-0.33,-0.16
318.37,-4.00,19.63, -2.00,0.06,-0.33,-0.16
318.48,-4.20,19.55, -1.84,0.05,-0.34,-0.16
318.67,-4.38,19.48, -1.58,0.05,-0.34,-0.16
318.88,-4.27,19.35, -1.70,0.04,-0.35,-0.16
319.14,-4.46,19.28, -1.36,0.04,-0.35,-0.15
319.35,-4.37,19.20, -1.48,0.03,-0.35,-0.15
319.57,-4.60,19.13, -1.15,0.03,-0.35,-0.15
319.70,-4.80,19.04, -0.90,0.02,-0.36,-0.15
319.92,-4.70,18.99, -1.01,0.02,-0.36,-0.15
320.14,-4.94,18.93, -0.68,0.02,-0.36,-0.15
320.41,-4.76,18.91, -0.88,0.02,-0.36,-0.15
320.63,-5.01,18.84, -0.55,0.01,-0.36,-0.15
320.79,-4.82,18.84, -0.77,0.02,-0.36,-0.15
321.18,-5.09,18.74, -0.44,0.01,-0.36,-0.15
321.43,-4.87,18.76, -0.66,0.01,-0.36,-0.15
321.63,-5.10,18.66, -0.35,0.01,-0.36,-0.15
321.83,-4.91,18.69, -0.57,0.01,-0.36,-0.15
322.03,-5.14,18.61, -0.32,0.01,-0.36,-0.15
325.17,-6.52,18.16, 0.37,-0.01,-0.36,-0.15
325.38,-6.77,18.08, 0.77,-0.01,-0.36,-0.15
325.52,-6.66,18.12, 0.58,-0.01,-0.36,-0.15
325.74,-6.92,18.04, 0.94,-0.02,-0.35,-0.15
325.97,-6.76,18.08, 0.71,-0.01,-0.35,-0.15
326.20,-7.03,18.02, 1.08,-0.02,-0.34,-0.15
326.30,-7.03,18.02, 1.08,-0.02,-0.34,-0.15
326.55,-7.02,18.01, 1.06,-0.02,-0.34,-0.15
327.25,-6.71,18.04, 0.66,-0.01,-0.33,-0.15
327.46,-6.53,18.07, 0.38,-0.01,-0.33,-0.14
327.73,-6.73,18.00, 0.66,-0.01,-0.33,-0.14
327.94,-6.52,18.04, 0.37,-0.01,-0.33,-0.14
328.09,-6.71,17.98, 0.66,-0.01,-0.33,-0.14
359.75,-6.67,17.74, 0.60,-0.01,-0.32,-0.14
360.18,-6.60,17.79, 0.49,-0.01,-0.32,-0.14
372.12,-23.52,4.40, -0.07,-0.43,-0.32,-0.14
372.71,-26.81,4.36, -0.28,-1.81,-0.32,-0.15
372.94,-28.26,4.46, -0.13,-1.62,-0.32,-0.15
373.27,-29.96,4.42, -0.20,-1.56,-0.32,-0.16
373.42,-31.31,4.47, -0.05,-0.81,-0.32,-0.16
373.89,-33.99,4.54, -0.01,-0.12,-0.32,-0.16
374.06,-35.04,4.40, -0.00,-0.03,-0.32,-0.16
376.72,-50.13,4.17, -0.04,-1.43,-0.32,-0.16
377.02,-51.98,4.01, -0.01,-0.45,-0.31,-0.16
377.17,-52.59,3.90, -0.01,-0.57,-0.31,-0.16
377.86,-56.82,4.05, -0.00,-0.62,-0.31,-0.16
377.99,-57.84,3.93, -0.00,-0.37,-0.31,-0.16
383.66,-88.13,3.55, -0.00,-0.46,-0.31,-0.16
386.10,-99.84,-0.39, -0.31,-0.31,-0.31,-0.17
386.34,-100.57,-1.35, -1.15,-1.05,-0.31,-0.17
386.57,-101.00,-2.17, 0.48,-0.21,-0.31,-0.17
386.76,-101.45,-2.80, 0.92,-0.34,-0.31,-0.17
386.95,-101.56,-3.87, 0.37,-0.06,-0.31,-0.17
387.15,-101.81,-4.71, 0.38,-0.04,-0.31,-0.17
390.53,-102.06,-24.34, 0.32,0.03,-0.30,-0.17
391.92,-102.38,-31.74, 1.12,0.04,-0.30,-0.17
392.04,-102.60,-31.54, 2.00,0.09,-0.29,-0.17
392.28,-102.41,-32.01, 1.48,0.02,-0.29,-0.17
392.51,-102.59,-32.14, 0.71,0.02,-0.29,-0.16
392.87,-102.65,-32.70, 0.52,0.01,-0.29,-0.16
393.10,-102.90,-32.75, 1.02,0.02,-0.28,-0.16
393.32,-102.60,-33.02, 1.17,0.01,-0.28,-0.16
393.51,-102.84,-33.11, 0.81,0.01,-0.28,-0.16
393.70,-103.08,-33.19, 1.70,0.04,-0.27,-0.16
393.91,-102.84,-33.37, 1.15,0.01,-0.27,-0.16
394.14,-103.03,-33.44, 1.46,0.02,-0.26,-0.16
394.27,-102.71,-33.57, 1.13,-0.00,-0.26,-0.16
394.51,-102.88,-33.65, 0.96,0.00,-0.26,-0.16
394.68,-103.08,-33.73, 2.00,0.02,-0.25,-0.16
394.90,-102.78,-33.79, 1.09,0.00,-0.25,-0.16
395.01,-102.94,-33.88, 1.54,0.00,-0.24,-0.16
395.17,-103.06,-33.95, 1.90,0.01,-0.24,-0.16
395.40,-102.80,-33.99, 1.20,-0.00,-0.23,-0.16
395.61,-102.98,-34.05, 1.94,0.00,-0.23,-0.16
395.91,-102.63,-34.07, 1.05,-0.00,-0.23,-0.16
396.07,-102.75,-34.16, 1.15,-0.00,-0.22,-0.16
396.21,-102.90,-34.26, 1.39,-0.00,-0.22,-0.16
396.54,-102.61,-34.22, 1.06,-0.01,-0.22,-0.16
396.71,-102.74,-34.32, 1.19,-0.00,-0.21,-0.16
396.88,-102.48,-34.29, 0.98,-0.01,-0.21,-0.16
397.13,-102.60,-34.36, 1.05,-0.01,-0.21,-0.16
397.25,-102.71,-34.45, 1.22,-0.00,-0.20,-0.16
397.45,-102.64,-34.46, 1.29,-0.01,-0.20,-0.16
397.58,-102.77,-34.55, 1.41,-0.01,-0.20,-0.15
397.74,-102.91,-34.61, 1.58,-0.01,-0.19,-0.15
