tru_x, tru_y, ukf_x,ukf_y,error
-149.6367645263672, -35.19157409667969, -147.42032296180028,-34.84177162064765,2.8218719875725444
-149.62289428710938, -34.296138763427734, -147.45299398745317,-35.286660686703115,2.8203292895608345
-149.6149444580078, -33.8162841796875, -147.28300759824864,-34.89046633996754,2.8194388676955078
-149.6072235107422, -33.3668098449707, -147.06672066824032,-34.351715822920994,2.819106582216879
-149.60008239746094, -32.84947967529297, -147.48455929585742,-34.569896607527376,2.818783725611756
-149.5867919921875, -31.93868064880371, -147.4664791575061,-31.699297469251345,2.8163969642629465
-149.5773468017578, -31.34116554260254, -147.52443061855672,-32.40507429936533,2.8146463538353927
-149.56959533691406, -30.825834274291992, -147.34468181280045,-31.80530109939199,2.813318739982142
-149.5612030029297, -30.301212310791016, -147.7751723261367,-31.9618517994547,2.812027213795612
-149.55564880371094, -29.95378875732422, -147.9944955984248,-30.45115072983957,2.8079943546946002
-149.5415802001953, -29.05143928527832, -147.98406471679903,-29.89529645165199,2.8044444624162432
-149.53282165527344, -28.49502944946289, -148.25405863597143,-29.72086156693916,2.8009187531646447
-149.53282165527344, -28.49502944946289, -148.19595160830687,-29.29117920578396,2.7966842700105015
-149.51638793945312, -27.32930564880371, -148.5637877885096,-29.117582547508977,2.794072370987329
-149.51638793945312, -27.32930564880371, -147.90767911587554,-26.515718414848877,2.790723272102271
-149.50146484375, -26.320035934448242, -148.27659875753042,-26.413680865697568,2.785463061077679
-149.50146484375, -26.320035934448242, -148.25830673910747,-26.07668216051877,2.7803667185503307
-149.48638916015625, -25.26045799255371, -148.65561776060792,-25.797288365863615,2.774375943068755
-149.4757843017578, -24.51214599609375, -148.6565863020739,-25.254648535182287,2.7688134229552857
-149.46998596191406, -24.08858299255371, -148.51738282496112,-24.080662304985697,2.7627796111374265
-149.46998596191406, -24.08858299255371, -148.51627771608602,-23.700977121737985,2.7570401580477424
